Mês Ano,Área de atuação (Função),Subfunção,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
jan.-22,08 - Assistência social,126 - Tecnologia da informação,0,0,0,"4.216.628,42"
jan.-22,12 - Educação,123 - Administração financeira,0,0,0,"53.774.091,21"
jan.-22,28 - Encargos especiais,842 - Refinanciamento da dívida externa,"2.216.399.000,00","2.216.399.000,00","2.216.399.000,00",0
jan.-22,19 - Ciência e Tecnologia,542 - Controle ambiental,0,0,0,"96.724,79"
jan.-22,10 - Saúde,"422 - Direitos individuais, coletivos e difusos",0,0,0,"133.559,19"
jan.-22,23 - Comércio e serviços,846 - Outros encargos especiais,"10.740.000,00","881.352,48","881.352,48","6.285,98"
jan.-22,04 - Administração,571 - Desenvolvimento científico,"5.043.462,00",0,0,"6.200,00"
jan.-22,23 - Comércio e serviços,572 - Desenvolvimento tecnológico e engenharia,0,0,0,"20.673,40"
jan.-22,11 - Trabalho,126 - Tecnologia da informação,0,0,0,"1.071.918,85"
jan.-22,09 - Previdência social,126 - Tecnologia da informação,0,0,0,"37.769.028,47"
jan.-22,14 - Direitos da cidadania,421 - Custódia e reintegração social,0,0,0,"4.125.872,36"
jan.-22,05 - Defesa nacional,131 - Comunicação social,0,0,0,"3.744,82"
jan.-22,12 - Educação,366 - Educação de jovens e adultos,0,0,0,"66.008,32"
jan.-22,06 - Segurança pública,482 - Habitação urbana,0,0,0,"2.431.700,00"
jan.-22,24 - Comunicações,571 - Desenvolvimento científico,0,0,0,"3.496.000,00"
jan.-22,10 - Saúde,541 - Preservação e conservação ambiental,0,0,0,0
jan.-22,18 - Gestão ambiental,128 - Formação de recursos humanos,"9.166,66",0,0,"10.190,31"
jan.-22,05 - Defesa nacional,243 - Assistência à criança e ao adolescente,0,0,0,"5.824,92"
jan.-22,02 - Judiciária,122 - Administração geral,"73.251,70",0,0,"2.805,86"
jan.-22,20 - Agricultura,846 - Outros encargos especiais,"17.400.000,00","15.965.018,78","15.965.018,78",0
jan.-22,21 - Organização agrária,"422 - Direitos individuais, coletivos e difusos","1.858,50",0,0,0
jan.-22,26 - Transporte,131 - Comunicação social,0,0,0,"128.037,71"
jan.-22,20 - Agricultura,127 - Ordenamento territorial,0,0,0,"47.508,17"
